city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Georgetown,20,GY,1562896864,100,6.8,-58.16,77,1.43
Kapaa,20,US,1562896865,66,22.08,-159.32,86,11.41
Bredasdorp,96,ZA,1562896866,87,-34.53,20.04,55.4,5.82
Arraial do Cabo,0,BR,1562896868,93,-22.97,-42.02,55.4,2.24
Mar del Plata,0,AR,1562896869,67,-46.43,-67.52,40,7.07
Ushuaia,75,AR,1562896870,93,-54.81,-68.31,37.4,9.17
Castro,90,CL,1562896871,93,-42.48,-73.76,46.4,14.99
Beloha,0,MG,1562896872,89,-25.17,45.06,57.96,5.12
Ilo,89,PE,1562896874,84,-17.65,-71.34,60.72,7.85
Boueni,75,YT,1562896876,83,-12.9,45.08,77,14.99
Rikitea,0,PF,1562896878,81,-23.12,-134.97,73.35,14.32
Bud,51,NO,1562896879,87,62.91,6.91,51.8,16.11
Punta Arenas,90,CL,1562896880,93,-53.16,-70.91,39.2,17.22
Yaan,82,NG,1562896882,98,7.38,8.57,70.37,4.14
Kununurra,11,AU,1562896883,28,-15.77,128.74,82.4,11.41
Leo,100,BF,1562896884,77,11.1,-2.1,76.52,5.1
Albany,40,US,1562896885,94,42.65,-73.75,75.99,4.97
Mataura,100,NZ,1562896886,82,-46.19,168.86,46.99,3
Great Yarmouth,67,GB,1562896888,88,52.61,1.73,64,8.05
Barrow,88,AR,1562896889,83,-38.31,-60.23,47.97,1.32
Sao Joao da Barra,0,BR,1562896890,89,-21.64,-41.05,59.31,1.83
Kahului,20,US,1562896891,48,20.89,-156.47,86,17.22
Inuvik,75,CA,1562896892,57,68.36,-133.71,50,12.75
Polyarnyy,75,RU,1562896893,80,69.2,33.45,41,11.18
Kangaatsiaq,0,GL,1562896895,84,68.31,-53.46,44.63,6.93
Cape Town,75,ZA,1562896720,93,-33.93,18.42,55.99,9.17
Puerto Ayora,0,EC,1562896897,93,-0.74,-90.35,71.01,3
Gagnoa,70,CI,1562896899,94,6.13,-5.95,69.57,3.89
Laguna,20,BZ,1562896902,78,16.17,-88.94,82.4,4.7
Beidao,0,CN,1562896903,49,34.57,105.89,71.43,2.39
Primorsk,99,RU,1562896904,74,60.37,28.62,52.94,10.98
Pevek,73,RU,1562896906,72,69.7,170.27,48.32,3.36
Marmande,0,FR,1562896907,64,44.5,0.16,68,6.93
Mount Gambier,40,AU,1562896908,81,-37.83,140.78,50,17.22
Saint Anthony,1,US,1562896910,21,43.97,-111.68,91.4,14.99
Olinda,75,AU,1562896911,81,-37.84,145.39,55.99,21.92
Busselton,100,AU,1562896913,68,-33.64,115.35,57.99,7.29
